date,ILITOTAL,OT
8/12/2019,8987,1076513
8/19/2019,10096,1071703
8/26/2019,11817,1095230
9/2/2019,13158,1090741
9/9/2019,14831,1162580
9/16/2019,15977,1148137
9/23/2019,17414,1163278
9/30/2019,21915,1456967
10/7/2019,22953,1436150
10/14/2019,24857,1429897
10/21/2019,27419,1473740
10/28/2019,28910,1435277
11/4/2019,34586,1463253
11/11/2019,37728,1426760
11/18/2019,44148,1483729
11/25/2019,43817,1270842
12/2/2019,48877,1474075
12/9/2019,56444,1458774
12/16/2019,71584,1423829
12/23/2019,95757,1338669
12/30/2019,88681,1423620
1/6/2020,75585,1490905
1/13/2020,79746,1488404
1/20/2020,90072,1494697
1/27/2020,108307,1575900
2/3/2020,111289,1571300
2/10/2020,95418,1533883
2/17/2020,79832,1420123
2/24/2020,74809,1466192
3/2/2020,78779,1489410
3/9/2020,89571,1423503
3/16/2020,78584,1068755
3/23/2020,53142,853431
3/30/2020,36251,750546
4/6/2020,24974,718953
4/13/2020,18265,709645
4/20/2020,15164,750576
4/27/2020,12817,790715
5/4/2020,11066,818113
5/11/2020,10480,846400
5/18/2020,11735,1090638
5/25/2020,9614,1085294
6/1/2020,9325,1137295
6/8/2020,9580,1176074
6/15/2020,11866,1247767
6/22/2020,15499,1288294
6/29/2020,17843,1289006
7/6/2020,20046,1360798
7/13/2020,19260,1339726
7/20/2020,16533,1356301
7/27/2020,15524,1349125
8/3/2020,14117,1336052
8/10/2020,13193,1343895
8/17/2020,12952,1346595
8/24/2020,13159,1355839
8/31/2020,12316,1340149
9/7/2020,13035,1332779
9/14/2020,13049,1365420
9/21/2020,14586,1404590
9/28/2020,16466,1524289
10/5/2020,19144,1602667
10/12/2020,17235,1569727
10/19/2020,18133,1571417
10/26/2020,18554,1560158
11/2/2020,21370,1597645
11/9/2020,22598,1639379
11/16/2020,22709,1585429
11/23/2020,21313,1421255
11/30/2020,22251,1534905
12/7/2020,22103,1549810
12/14/2020,20874,1493163
12/21/2020,19836,1361197
12/28/2020,22423,1458113
1/4/2021,22711,1582870
1/11/2021,19018,1508647
1/18/2021,18350,1515305
1/25/2021,16896,1504764
2/1/2021,16098,1487296
2/8/2021,14079,1443873
2/15/2021,12591,1387354
2/22/2021,13344,1550083
3/1/2021,13000,1543291
3/8/2021,14077,1559093
3/15/2021,14574,1551445
3/22/2021,15354,1599192
3/29/2021,15993,1602279
4/5/2021,18100,1679101
4/12/2021,19165,1728295
4/19/2021,19305,1678407
4/26/2021,20099,1698411
5/3/2021,19930,1648268
5/10/2021,20367,1623366
5/17/2021,21262,1683010
5/24/2021,19675,1652047
5/31/2021,20143,1609033
6/7/2021,19182,1674977
6/14/2021,19579,1656791
6/21/2021,19890,1643793
6/28/2021,20092,1656615
7/5/2021,22371,1683237
7/12/2021,25261,1750965
7/19/2021,30545,1787028
7/26/2021,35195,1842048
8/2/2021,37756,1839909
8/9/2021,40067,1858843
8/16/2021,42721,1852756
8/23/2021,43058,1865986
8/30/2021,40864,1814136
9/6/2021,39421,1781535
9/13/2021,36193,1805463
9/20/2021,33976,1753523
9/27/2021,29949,1624427
10/4/2021,39535,2007349
10/11/2021,37638,1973726
10/18/2021,35714,1918176
10/25/2021,36639,1934723
11/1/2021,40030,1917361
11/8/2021,44163,1980931
11/15/2021,47076,1997393
11/22/2021,43324,1762089
11/29/2021,52729,2056903
12/6/2021,55069,2025745
12/13/2021,62545,2018736
12/20/2021,79225,1942424
12/27/2021,113862,2246237
1/3/2022,93262,2178681
1/10/2022,69183,2025389
1/17/2022,48498,1811003
1/24/2022,34810,1760073
1/31/2022,25831,1654872
2/7/2022,23731,1763832
2/14/2022,23946,1746795
2/21/2022,23609,1722955
2/28/2022,25801,1813130
3/7/2022,28077,1815133
3/14/2022,31359,1867926
3/21/2022,32423,1869370
3/28/2022,34822,1877580
4/4/2022,38144,1912899
4/11/2022,40966,1923613
4/18/2022,42086,1927635
4/25/2022,43420,1960190
5/2/2022,47799,1979830
5/9/2022,52025,1994121
5/16/2022,54081,2076569
5/23/2022,52385,1963229
5/30/2022,51863,1959711
6/6/2022,45240,1972714
6/13/2022,40250,1940597
6/20/2022,37830,1972297
6/27/2022,34566,1918113
7/4/2022,34983,1951013
7/11/2022,33011,1978256
7/18/2022,32611,1977461
7/25/2022,32040,1944189
8/1/2022,29641,1938338
8/8/2022,28642,1887562
8/15/2022,31572,1949894
8/22/2022,35787,1975601
8/29/2022,37513,1978914
9/5/2022,38334,1966513
9/12/2022,39838,2017799
9/19/2022,44726,2033022
9/26/2022,46321,2015431
10/3/2022,57318,2209814
10/10/2022,63388,2223106
10/17/2022,75615,2279700
10/24/2022,109496,2462467
10/31/2022,139247,2510305
11/7/2022,140055,2468962
11/14/2022,137419,2396019
11/21/2022,164936,2237505
11/28/2022,185673,2564503
12/5/2022,167248,2448985
12/12/2022,151672,2347026
12/19/2022,129978,2116491
12/26/2022,112531,2058533
1/2/2023,92034,2257219
1/9/2023,67720,2214718
1/16/2023,57770,2134322
1/23/2023,58231,2179097
1/30/2023,59326,2208786
2/6/2023,62258,2301891
2/13/2023,59665,2262519
2/20/2023,57223,2212367
2/27/2023,55682,2278801
3/6/2023,54686,2274369
3/13/2023,54263,2228243
3/20/2023,55394,2295244
3/27/2023,53342,2270922
4/3/2023,48355,2191695
4/10/2023,46725,2254413
4/17/2023,44507,2277306
4/24/2023,44802,2270577
5/1/2023,45582,2259439
5/8/2023,45769,2295923
5/15/2023,43287,2201602
5/22/2023,41516,2169098
5/29/2023,41589,2145684
6/5/2023,36939,2182091
6/12/2023,33880,2151633
6/19/2023,30889,2139112
6/26/2023,28486,2151758
7/3/2023,26648,2064286
7/10/2023,25903,2155400
7/17/2023,25802,2163359
7/24/2023,26417,2146245
7/31/2023,26896,2132922
8/7/2023,29313,2156467
8/14/2023,33663,2186399
8/21/2023,40979,2243946
8/28/2023,44411,2245988
9/4/2023,44734,2209523
9/11/2023,45287,2274050
9/18/2023,48265,2261308
9/25/2023,49269,2260617
10/2/2023,56312,2491762
10/9/2023,57524,2486632
10/16/2023,62503,2484780
10/23/2023,67635,2521937
10/30/2023,72231,2478529
11/6/2023,85459,2568065
11/13/2023,90948,2544050
11/20/2023,85524,2256510
11/27/2023,103712,2617331
12/4/2023,114141,2619296
12/11/2023,135998,2610448
12/18/2023,163265,2586088
12/25/2023,166750,2413892
1/1/2024,143938,2497395
1/8/2024,118459,2491092
1/15/2024,100098,2299985
1/22/2024,105571,2498648
1/29/2024,107922,2521568
2/5/2024,112968,2566444
2/12/2024,108366,2498912
2/19/2024,107566,2486951
2/26/2024,104864,2569164
3/4/2024,94742,2537260
3/11/2024,84963,2498228
3/18/2024,78618,2492206
3/25/2024,73845,2433678
4/1/2024,68526,2418470
4/8/2024,64449,2485371
4/15/2024,57522,2505816
4/22/2024,55413,2467989
4/29/2024,53519,2493255
5/6/2024,50457,2471221
5/13/2024,49254,2423948
5/20/2024,47562,2429017
5/27/2024,44766,2328772
6/3/2024,41248,2388904
6/10/2024,37720,2348396
6/17/2024,35781,2320335
6/24/2024,35208,2352786
7/1/2024,32093,2217551
7/8/2024,34982,2415173
7/15/2024,33474,2336121
7/22/2024,34749,2307921
7/29/2024,34935,2334775
8/5/2024,34912,2312831
8/12/2024,35347,2290608
